parent-poly,length,width,angle,type
-1,3958.28,4.56443,14.6392,primary
0,77.7777,7.50645,51.9453,lateral
0,82.3996,2.0227,113.467,lateral
0,97.1685,5.49852,110.923,lateral
0,75.4984,7.78398,90.0,lateral
0,68.5517,1.79059,127.667,lateral
0,137.317,0.772202,126.292,lateral
0,124.831,2.9219,54.8655,lateral
0,58.858,2.7677,106.689,lateral
0,114.541,0.690272,113.221,lateral
0,133.312,8.00736,70.2185,lateral
0,113.835,3.25877,82.8234,lateral
0,96.1151,7.76685,112.144,lateral
0,219.976,6.4306,66.1252,lateral
0,68.5947,6.15539,74.057,lateral
0,163.972,1.5168,113.081,lateral
0,174.24,3.04732,116.045,lateral
0,3038.38,4.70056,13.9763,seminal
17,40.7998,11.709,85.3356,lateral
17,79.5363,4.51089,103.932,lateral
17,153.125,6.24897,102.979,lateral
17,64.8275,1.29147,121.416,lateral
17,183.518,2.22581,103.334,lateral
17,113.51,5.74178,79.6526,lateral
17,316.221,9.4321,72.5965,lateral
17,227.701,4.56427,84.4588,lateral
17,120.407,1.24308,118.197,lateral
17,177.788,1.86132,72.6857,lateral
17,248.619,2.21783,83.3382,lateral
17,287.194,9.29813,100.013,lateral
17,224.074,6.11366,88.2349,lateral
17,133.425,11.4247,81.0275,lateral
17,97.7912,2.15739,105.302,lateral
17,479.988,2.81256,90.0,lateral
17,229.476,5.39036,56.0078,lateral
17,417.498,1.93021,65.8681,lateral
17,509.372,2.63353,56.8578,lateral
17,616.446,2.27182,88.1464,lateral
17,445.578,1.46081,76.5908,lateral
17,463.755,2.19339,84.1827,lateral
17,671.872,5.82755,86.4555,lateral
17,285.692,6.57403,82.7768,lateral
17,819.011,1.72638,69.9417,lateral
17,946.82,2.41419,77.0292,lateral
17,617.431,1.34384,121.228,lateral
17,879.106,3.31814,83.0232,lateral
17,917.16,7.04149,78.9939,lateral
17,646.319,3.55769,70.5428,seminal
47,114.766,6.63165,97.2574,seminal
47,75.4933,1.0887,117.349,lateral
47,101.433,3.50757,121.075,lateral
47,194.708,3.85032,72.7649,lateral
47,222.201,1.51789,101.166,lateral
17,922.841,1.64197,72.5194,lateral
17,97.6059,2.33129,89.2258,lateral
17,875.095,2.45963,81.6269,lateral
55,685.991,4.15948,80.105,lateral
0,2080.3,5.73323,28.3556,seminal
0,3163.47,6.1696,13.7415,seminal
58,266.246,6.48519,72.1016,lateral
58,132.484,6.78871,93.6731,lateral
58,172.939,4.48887,88.8942,lateral
58,373.295,4.56322,92.1369,lateral
58,190.272,2.04706,113.629,lateral
58,270.964,2.46145,89.476,lateral
58,427.507,1.69914,88.11,lateral
58,314.117,3.14096,110.121,lateral
58,649.288,1.73836,95.9832,lateral
58,602.85,2.63626,93.2928,lateral
58,853.056,2.51463,75.446,lateral
58,620.925,3.83144,57.7819,seminal
70,68.1981,4.99024,57.3443,lateral
70,710.464,2.1132,87.6861,lateral
72,80.8048,7.79892,64.9334,lateral
58,431.275,2.75285,99.9612,lateral
