Time (days),Sucrose input (mol of sucrose),Final deficit in sucrose of the whole root system (mol of sucrose),Cumulated amount of C present in the root-soil system (mol of C),Cumulated amount of C that has been respired by roots (mol of C),Cumulated amount of C that has been degraded in the soil (mol of C),Root structural mass (g),Root necromass (g),Root length (m),Root surface (m2),Sucrose in the root (mol of sucrose),Hexose in the mobile pool of the roots (mol of hexose),Hexose in the reserve pool of the roots (mol of hexose),Hexose in the soil (mol of hexose),Deficit of sucrose in the root (mol of sucrose),Deficit of hexose in the mobile pool of the roots (mol of hexose),Deficit of hexose in the soil (mol of hexose),CO2 originating from root growth (mol of C),CO2 originating from root maintenance (mol of C),Structural mass produced (g),Hexose unloaded from phloem (mol of hexose),Sucrose reloaded in the phloem (mol of hexose),Hexose mobilized from reserve (mol of hexose),Hexose stored as reserve (mol of hexose),Hexose emitted in the soil (mol of hexose),Hexose taken up from the soil (mol of hexose),Hexose degraded in the soil (mol of hexose),Concentration of hexose in the main root tip (mol of hexose per g)
0.0,0.0,0.0,2.7463117634405332e-06,0.0,0.0,5.0265482457436686e-05,0.0,0.001,2.5132741228718346e-06,5.026548245743669e-08,5.026548245743669e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA
1.0,0.08639999999999999,0.0,1.036836326936055,7.247023256462509e-08,0.0,0.000975427686474037,0.0,0.0011310181818181817,2.842558728861188e-06,0.08640002855079403,4.039431802171083e-08,0.0,1.0097832188976243e-09,0.0,0.0,0.0,6.0318578948924e-08,1.2151653615701086e-08,6.585692119787068e-06,4.34293768432253e-08,0.0,0.0,0.0,1.0097832188976243e-09,0.0,0.0,0.0
2.0,0.08639999999999999,0.0,2.073602646076521,8.400799578926832e-08,1.6227246809296375e-08,5.685117457722375e-05,0.0,0.0011310181818181817,2.842558728861188e-06,0.16844921722831763,0.008701660594706168,0.0,0.0,0.0,0.0,1.1731538165947938e-09,0.0,1.1537763224643232e-08,0.0,0.008701622644952783,0.0,0.0,0.0,7.91195874060219e-10,2.6959177466990773e-10,2.7045411348827294e-09,153.0602948901902
3.0,0.08639999999999999,0.0,35.72029508080576,1.0685959064389107e-05,1.6227246809296375e-08,0.001174753982831974,0.0,0.02337098791057502,5.738732419092678e-05,0.10997894110037197,5.732047721566522,5.873769914159869e-06,0.0013638628558927963,0.0,0.0,0.0,1.0238909984015194e-05,3.6304108458465297e-07,0.0011179028082547503,5.72472439170261,0.0,0.0,5.8737699141598626e-06,0.0013638640290466128,0.0,0.0,4985.241855560912
4.0,0.08639999999999999,0.0,36.75708038311943,2.1633397362528757e-05,3.766475290629692e-06,0.0022926582641533107,0.0,0.04561098694506047,0.00011282961185458008,0.19637894110037196,5.66370905833734,1.146329132076655e-05,0.06968766100029372,0.0,0.0,0.0,1.0238923475882347e-05,7.085148222573039e-07,0.0011179042813213365,0.0,0.0,0.00015846853921827676,0.00016405806062488347,0.06832453568693624,1.125011946812112e-07,6.250413406367326e-07,177.3742221316115
5.0,0.08639999999999999,0.0,37.7938634818231,3.2926296620631794e-05,9.3748723690609e-06,0.003410561360472114,0.0,0.06785096240466956,0.0001687247666705203,0.2827789411003721,5.64584784778338,1.705280680236056e-05,0.08753363921430195,0.0,0.0,0.0,1.0238912622403686e-05,1.0539866356993499e-06,0.001117903096318803,0.0,0.0,0.00023573800123583236,0.0002413275167174263,0.017847081198342003,1.6825148738498665e-07,9.347328464052015e-07,17.161853606350743
6.0,0.08639999999999999,0.0,39.68257844222737,4.45645437804492e-05,1.6841183686314853e-05,0.004528452424210783,0.0,0.09009069848370288,0.00022461931985745388,0.2886810987459542,5.933850379618185,2.2642262121053904e-05,0.10250020349878111,0.0,0.0,0.0,1.0238802415591472e-05,1.3994447442259338e-06,0.0011178910637386697,0.302984695535961,0.0,0.0003130066315614493,0.0003185960868801426,0.01496803265799199,2.2398829328497972e-07,1.2443852195423257e-06,128.98333767836613
7.0,0.08639999999999999,0.0,40.71935717813322,5.6548377780338704e-05,2.6121443830768235e-05,0.005646354948653729,0.0,0.11233066256620326,0.0002792073883669284,0.3750810987459541,5.918225626429892,2.8231774743268618e-05,0.11810899722050666,0.0,0.0,0.0,1.0238907384573172e-05,1.7449266153163362e-06,0.0011179025244429442,0.0,0.0,0.00039027605405094574,0.0003958655666731603,0.01561061882175587,2.783900062557617e-07,1.546710024075564e-06,8.185089407183085
8.0,0.08639999999999999,0.0,42.4648716589592,6.887742775352508e-05,3.723088875754749e-05,0.006764232631540278,0.0,0.13457013244164182,0.00033423148776744643,0.39582765263513336,6.154418004870918,3.382116315770137e-05,0.13133017596379784,0.0,0.0,0.0,1.0238679859910106e-05,2.090370113276269e-06,0.0011178776828865483,0.24942987877512113,0.0,0.00046754375949206413,0.00047313314790649666,0.013223363588503772,3.3327105806294915e-07,1.8515741544632097e-06,107.71341459893465
9.0,0.08639999999999999,0.0,43.503453459344975,8.155219395327874e-05,5.016719197047861e-05,0.007882134799778045,0.0,0.15681008943766536,0.0003892749668330104,0.4711297995604586,6.162812396767297,3.9410673998890225e-05,0.1454160415008084,0.0,0.0,0.0,1.0238904122077794e-05,2.4358620776758614e-06,0.001117902168237767,0.022496941391880795,0.0,0.0005448131573606588,0.0005504026682018476,0.01408840958089913,3.879933531298153e-07,2.1560505354885206e-06,12.72925058360373
