emergence_delay_in_thermal_time,number_of_adventitious_roots_per_event
316537.2,1
361616.3883,1
405997.4413,1
449680.359,1
492665.1414,1
534951.7884,1
576540.3001,1
617430.6765,1
657622.9175,1
697117.0232,1
735912.9936,1
774010.8287,1
811410.5284,1
848112.0928,1
884115.5219,1
919420.8156,1
954027.974,1
987936.9971,1
1021147.885,1
1053660.637,1
1085475.254,1
1116591.736,1
1147010.083,1
1176730.294,1
1205752.37,1
1234076.31,1
1261702.115,1
1288629.785,1
1314859.319,1
1340390.719,1
1365223.982,1
1389359.111,1
1412796.104,1
1435534.962,1
1457575.684,1
1478918.272,1
1499562.723,1
1519509.04,1
1538757.221,1
1557307.267,1
1575159.178,1
1592312.953,1
1608768.593,1
1624526.097,1
1639585.466,1
1653946.7,1
1667609.799,1
1680574.762,1
1692841.59,1
1704410.283,1
1715280.84,1
