step_number,time_in_days,soil_temperature_in_Celsius,sucrose_input_rate
0,0,3.767458177,0.00E+00
1,1,4.614067597,1.55E-12
2,2,5.983824353,5.01E-12
3,3,7.984853074,1.01E-11
4,4,7.884304876,9.82E-12
5,5,7.041580246,7.69E-12
6,6,6.826665021,7.15E-12
7,7,7.432579114,8.68E-12
8,8,7.928513003,9.93E-12
9,9,7.945078869,9.97E-12
10,10,7.573922901,9.03E-12
11,11,7.134477099,7.92E-12
12,12,7.703162358,9.36E-12
13,13,8.893689939,1.24E-11
14,14,8.063270958,1.03E-11
15,15,9.455499,1.38E-11
16,16,9.794209393,1.46E-11
17,17,9.829791417,1.47E-11
18,18,9.972707957,1.51E-11
19,19,9.38813578,1.36E-11
20,20,9.056809527,1.28E-11
21,21,8.56937523,1.16E-11
22,22,7.885818813,9.82E-12
23,23,7.257885095,8.24E-12
24,24,6.979530707,7.53E-12
25,25,6.608374739,6.59E-12
26,26,7.106714325,7.85E-12
27,27,7.960552707,1.00E-11
28,28,8.815682966,1.22E-11
29,29,10.14328074,1.55E-11
30,30,10.46245098,1.63E-11
31,31,9.608182672,1.42E-11
32,32,8.727265557,1.20E-11
33,33,7.711548098,9.40E-12
34,34,6.261862816,5.74E-12
35,35,7.13169865,7.96E-12
36,36,7.40812409,8.69E-12
37,37,7.041106976,7.81E-12
38,38,6.823459205,7.34E-12
39,39,11.48321627,1.92E-11
40,40,7.341285752,8.94E-12
41,41,8.032753003,1.09E-11
42,42,8.724220253,1.31E-11
43,43,8.831979205,1.38E-11
44,44,8.608814054,1.40E-11
45,45,8.385648902,1.44E-11
46,46,7.875567688,1.45E-11
47,47,7.532447547,1.53E-11
48,48,8.166373249,1.92E-11
49,49,8.65761562,2.34E-11
50,50,10.13825904,3.08E-11
51,51,10.5242699,3.63E-11
52,52,10.91028076,4.29E-11
53,53,11.29629161,5.07E-11
54,54,11.50813231,5.66E-11
55,55,11.39459076,5.01E-11
56,56,10.28042206,6.15E-11
57,57,10.62399125,7.46E-11
58,58,11.82298786,8.96E-11
59,59,12.29057413,1.07E-10
60,60,14.92323225,1.26E-10
61,61,15.30514153,1.47E-10
62,62,15.6870508,1.70E-10
63,63,16.5291023,1.96E-10
64,64,15.48633031,2.23E-10
65,65,15.55032373,2.52E-10
66,66,16.99973865,2.83E-10
67,67,16.89275062,3.16E-10
68,68,16.60759383,3.50E-10
69,69,15.49245008,3.85E-10
70,70,14.08535548,4.21E-10
71,71,13.25941808,4.58E-10
72,72,13.28479249,4.95E-10
73,73,13.46301264,5.32E-10
74,74,13.72353096,5.69E-10
75,75,13.94585095,6.05E-10
76,76,14.41337067,6.40E-10
77,77,14.32766897,6.74E-10
78,78,15.2709626,7.07E-10
79,79,15.96337121,7.38E-10
80,80,16.35484745,7.68E-10
81,81,16.02381369,7.95E-10
82,82,15.50694376,8.20E-10
83,83,14.12451502,8.42E-10
84,84,13.36510748,8.62E-10
85,85,13.56708813,8.80E-10
86,86,13.76493902,8.95E-10
87,87,13.98802652,9.07E-10
88,88,14.92413852,9.16E-10
89,89,16.72723646,9.23E-10
90,90,17.48847243,9.27E-10
91,91,17.50489505,9.29E-10
92,92,15.82209493,9.28E-10
93,93,14.60881374,9.25E-10
94,94,14.79112031,9.20E-10
95,95,15.16719413,9.13E-10
96,96,16.51175081,9.03E-10
97,97,16.16163084,8.92E-10
98,98,17.33001094,8.79E-10
99,99,16.69701589,8.65E-10
100,100,15.43494672,8.49E-10
101,101,14.98760492,8.32E-10
102,102,14.54026312,8.14E-10
103,103,15.71884589,7.95E-10
104,104,15.94907309,7.75E-10
105,105,15.93487844,7.54E-10
106,106,17.24512749,7.33E-10
107,107,17.71271377,7.11E-10
108,108,18.50002486,6.89E-10
109,109,18.81276695,6.67E-10
110,110,14.45771618,6.45E-10
111,111,17.93296331,6.22E-10
112,112,17.41606976,6.00E-10
113,113,16.91929478,5.78E-10
114,114,17.43541282,5.56E-10
115,115,18.09324058,5.34E-10
116,116,18.6444633,5.13E-10
117,117,19.15735545,4.92E-10
118,118,19.58333814,4.71E-10
119,119,19.51596697,4.51E-10
120,120,19.18019278,4.32E-10
121,121,17.94232271,4.13E-10
122,122,17.2832932,3.94E-10
123,123,16.720316,3.76E-10
124,124,17.60836448,3.58E-10
125,125,16.56275092,3.42E-10
126,126,15.60213579,3.25E-10
127,127,14.80394157,3.09E-10
