step_number,time_in_days,soil_temperature_in_Celsius,sucrose_input_rate
0,0,4.614067597,2.39E-12
1,1,5.983824353,7.71E-12
2,2,7.984853074,1.55E-11
3,3,7.884304876,1.51E-11
4,4,7.041580246,1.18E-11
5,5,6.826665021,1.10E-11
6,6,7.432579114,1.33E-11
7,7,7.928513003,1.53E-11
8,8,7.945078869,1.53E-11
9,9,7.573922901,1.39E-11
10,10,7.134477099,1.22E-11
11,11,7.703162358,1.44E-11
12,12,8.893689939,1.90E-11
13,13,8.063270958,1.58E-11
14,14,9.455499,2.12E-11
15,15,9.794209393,2.25E-11
16,16,9.829791417,2.27E-11
17,17,9.972707957,2.32E-11
18,18,9.38813578,2.10E-11
19,19,9.056809527,1.97E-11
20,20,8.56937523,1.78E-11
21,21,7.885818813,1.51E-11
22,22,7.257885095,1.27E-11
23,23,6.979530707,1.16E-11
24,24,6.608374739,1.01E-11
25,25,7.106714325,1.21E-11
26,26,7.960552707,1.54E-11
27,27,8.815682966,1.87E-11
28,28,10.14328074,2.39E-11
29,29,10.46245098,2.51E-11
30,30,9.608182672,2.18E-11
31,31,8.727265557,1.84E-11
32,32,7.711548098,1.45E-11
33,33,6.261862816,8.84E-12
34,34,7.13169865,1.22E-11
35,35,7.40812409,1.34E-11
36,36,7.041106976,1.20E-11
37,37,6.823459205,1.13E-11
38,38,11.48321627,2.96E-11
39,39,7.341285752,1.37E-11
40,40,8.032753003,1.68E-11
41,41,8.724220253,2.01E-11
42,42,8.831979205,2.13E-11
43,43,8.608814054,2.15E-11
44,44,8.385648902,2.22E-11
45,45,7.875567688,2.22E-11
46,46,7.532447547,2.36E-11
47,47,8.166373249,2.95E-11
48,48,8.65761562,3.59E-11
49,49,10.13825904,4.73E-11
50,50,10.5242699,5.59E-11
51,51,10.91028076,6.60E-11
52,52,11.29629161,7.80E-11
53,53,11.50813231,8.71E-11
54,54,11.39459076,7.71E-11
55,55,10.28042206,9.46E-11
56,56,10.62399125,1.15E-10
57,57,11.82298786,1.38E-10
58,58,12.29057413,1.64E-10
59,59,14.92323225,1.93E-10
60,60,15.30514153,2.26E-10
61,61,15.6870508,2.62E-10
62,62,16.5291023,3.01E-10
63,63,15.48633031,3.43E-10
64,64,15.55032373,3.88E-10
65,65,16.99973865,4.36E-10
66,66,16.89275062,4.86E-10
67,67,16.60759383,5.38E-10
68,68,15.49245008,5.92E-10
69,69,14.08535548,6.48E-10
70,70,13.25941808,7.04E-10
71,71,13.28479249,7.61E-10
72,72,13.46301264,8.18E-10
73,73,13.72353096,8.75E-10
74,74,13.94585095,9.31E-10
75,75,14.41337067,9.85E-10
76,76,14.32766897,1.04E-09
77,77,15.2709626,1.09E-09
78,78,15.96337121,1.14E-09
79,79,16.35484745,1.18E-09
80,80,16.02381369,1.22E-09
81,81,15.50694376,1.26E-09
82,82,14.12451502,1.30E-09
83,83,13.36510748,1.33E-09
84,84,13.56708813,1.35E-09
85,85,13.76493902,1.38E-09
86,86,13.98802652,1.39E-09
87,87,14.92413852,1.41E-09
88,88,16.72723646,1.42E-09
89,89,17.48847243,1.43E-09
90,90,17.50489505,1.43E-09
91,91,15.82209493,1.43E-09
92,92,14.60881374,1.42E-09
93,93,14.79112031,1.42E-09
94,94,15.16719413,1.40E-09
95,95,16.51175081,1.39E-09
96,96,16.16163084,1.37E-09
97,97,17.33001094,1.35E-09
98,98,16.69701589,1.33E-09
99,99,15.43494672,1.31E-09
100,100,14.98760492,1.28E-09
101,101,14.54026312,1.25E-09
102,102,15.71884589,1.22E-09
103,103,15.94907309,1.19E-09
104,104,15.93487844,1.16E-09
105,105,17.24512749,1.13E-09
106,106,17.71271377,1.09E-09
107,107,18.50002486,1.06E-09
108,108,18.81276695,1.03E-09
109,109,14.45771618,9.92E-10
110,110,17.93296331,9.58E-10
111,111,17.41606976,9.23E-10
112,112,16.91929478,8.89E-10
113,113,17.43541282,8.55E-10
114,114,18.09324058,8.22E-10
115,115,18.6444633,7.89E-10
116,116,19.15735545,7.57E-10
117,117,19.58333814,7.25E-10
118,118,19.51596697,6.94E-10
119,119,19.18019278,6.64E-10
120,120,17.94232271,6.35E-10
121,121,17.2832932,6.06E-10
122,122,16.720316,5.78E-10
123,123,17.60836448,5.52E-10
124,124,16.56275092,5.26E-10
125,125,15.60213579,5.00E-10
126,126,14.80394157,4.76E-10
127,127,14.48596113,4.53E-10
128,128,16.2787686,4.30E-10
129,129,17.50763558,4.09E-10
130,130,18.46855587,3.88E-10
131,131,19.13239651,3.68E-10
132,132,18.47605474,3.49E-10
133,133,18.94398092,3.31E-10
134,134,20.34546101,3.13E-10
135,135,19.07238288,2.97E-10
136,136,18.30506068,2.81E-10
137,137,17.33085757,2.66E-10
138,138,18.39275164,2.51E-10
139,139,19.48640771,2.38E-10
140,140,19.57076237,2.25E-10
141,141,18.36913127,2.12E-10
142,142,17.61838973,2.00E-10
143,143,16.68642135,1.89E-10
144,144,17.55380234,1.78E-10
145,145,18.53379307,1.68E-10
146,146,19.51378381,1.59E-10
147,147,19.63993827,1.50E-10
148,148,20.22028901,1.41E-10
