emergence_delay_in_thermal_time,number_of_adventitious_roots_per_event,,,
15652828.8,1,,,
16397622.49,1,,,
17128453.47,1,,,
17845321.74,1,,,
18548227.31,1,,,
19237170.17,1,,,
19912150.32,1,,,
20573167.77,1,,,
21220222.51,1,,,
21853314.54,1,,,
22472443.87,1,,,
23077610.49,1,,,
23668814.41,1,,,
24246055.62,1,,,
24809334.12,1,,,
25358649.91,1,,,
25894003,1,,,
26415393.38,1,,,
26922821.06,1,,,
27416286.03,1,,,
27895788.29,1,,,
28361327.84,1,,,
28812904.69,1,,,
29250518.83,1,,,
29674170.27,1,,,
30083859,1,,,
30479585.02,1,,,
30861348.34,1,,,
31229148.95,1,,,
31582986.85,1,,,
31922862.05,1,,,
32248774.54,1,,,
32560724.32,1,,,
32858711.4,1,,,
33142735.77,1,,,
33412797.43,1,,,
33668896.39,1,,,
33911032.64,1,,,
34139206.18,1,,,
34353417.02,1,,,
34553665.15,1,,,
34739950.58,1,,,
34912273.29,1,,,
35070633.31,1,,,
35215030.61,1,,,
35345465.21,1,,,
35461937.1,1,,,
35564446.28,1,,,
35652992.76,1,,,
35727576.53,1,,,
