step_number,time_in_days,soil_temperature_in_Celsius,sucrose_input_rate
2880,120.000001,19.18019159,6.64E-10
2881,120.0416676,19.12861367,6.63E-10
2882,120.0833343,19.07703575,6.62E-10
2883,120.125001,19.02545783,6.60E-10
2884,120.1666676,18.97387991,6.59E-10
2885,120.2083343,18.92230199,6.58E-10
2886,120.250001,18.87072407,6.57E-10
2887,120.2916676,18.81914615,6.56E-10
2888,120.3333343,18.76756823,6.54E-10
2889,120.375001,18.71599031,6.53E-10
2890,120.4166676,18.66441239,6.52E-10
2891,120.4583343,18.61283447,6.51E-10
2892,120.500001,18.56125655,6.49E-10
2893,120.5416676,18.50967863,6.48E-10
2894,120.5833343,18.45810071,6.47E-10
2895,120.625001,18.40652279,6.46E-10
2896,120.6666676,18.35494487,6.45E-10
2897,120.7083343,18.30336695,6.43E-10
2898,120.750001,18.25178903,6.42E-10
2899,120.7916676,18.20021111,6.41E-10
2900,120.8333343,18.14863319,6.40E-10
2901,120.875001,18.09705527,6.39E-10
2902,120.9166676,18.04547735,6.37E-10
2903,120.9583343,17.99389943,6.36E-10
2904,121.000001,17.94232207,6.35E-10
2905,121.0416676,17.91486251,6.34E-10
2906,121.0833343,17.88740295,6.33E-10
2907,121.125001,17.85994338,6.31E-10
2908,121.1666676,17.83248382,6.30E-10
2909,121.2083343,17.80502426,6.29E-10
2910,121.250001,17.77756469,6.28E-10
2911,121.2916676,17.75010513,6.27E-10
2912,121.3333343,17.72264557,6.25E-10
2913,121.375001,17.695186,6.24E-10
2914,121.4166676,17.66772644,6.23E-10
2915,121.4583343,17.64026688,6.22E-10
2916,121.500001,17.61280731,6.20E-10
2917,121.5416676,17.58534775,6.19E-10
2918,121.5833343,17.55788819,6.18E-10
2919,121.625001,17.53042863,6.17E-10
2920,121.6666676,17.50296906,6.16E-10
2921,121.7083343,17.4755095,6.14E-10
2922,121.750001,17.44804994,6.13E-10
2923,121.7916676,17.42059037,6.12E-10
2924,121.8333343,17.39313081,6.11E-10
2925,121.875001,17.36567125,6.10E-10
2926,121.9166676,17.33821168,6.08E-10
