Time (days),Sucrose input (mol of sucrose),Final deficit in sucrose of the whole root system (mol of sucrose),Cumulated amount of C present in the root-soil system (mol of C),Cumulated amount of C that has been respired by roots (mol of C),Cumulated amount of C that has been degraded in the soil (mol of C),Root structural mass (g),Root necromass (g),Root length (m),Root surface (m2),Total root hairs mass (g),Total living root hairs surface (m2),Sucrose in the root (mol of sucrose),Hexose in the mobile pool of the roots (mol of hexose),Hexose in the reserve pool of the roots (mol of hexose),Hexose in the soil (mol of hexose),Mucilage in the soil (mol of hexose),Cells in the soil (mol of equivalent-hexose),Deficit of sucrose in the root (mol of sucrose),Deficit of hexose in the mobile pool of the roots (mol of hexose),Deficit of hexose in the soil (mol of hexose),Deficit of mucilage in the soil (mol of hexose),Deficit of cells in the soil (mol of hexose),CO2 originating from root growth (mol of C),CO2 originating from root maintenance (mol of C),Structural mass produced (g),Hexose unloaded from phloem (mol of hexose),Sucrose reloaded in the phloem (mol of hexose),Hexose mobilized from reserve (mol of hexose),Hexose stored as reserve (mol of hexose),Hexose emitted in the soil (mol of hexose),Hexose taken up from the soil (mol of hexose),Mucilage secreted in the soil (mol of hexose),Cells release in the soil (mol of equivalent-hexose),Total rhizodeposition (mol of hexose),Hexose degraded in the soil (mol of hexose),Mucilage degraded in the soil (mol of hexose),Cells degraded in the soil (mol of equivalent-hexose),Concentration of hexose in the main root tip (mol of hexose per g),Soil temperature (degree Celsius)
0.0,0.0,0.0,2.1252120423930646e-06,0.0,0.0,5.529203070318035e-05,0.0,0.0011,2.764601535159018e-06,0.0,0.0,5.529203070318035e-09,5.529203070318035e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA
1.0,8.64e-06,0.0,0.0001440264519215933,4.95827265109572e-07,0.0,0.000979900790051085,0.0,0.0011339750626456436,2.8577263529342054e-06,0.0,0.0,8.645524089206586e-06,0.0,0.0,2.8656409654126376e-11,8.226217223827657e-07,4.776906612575455e-13,0.0,9.258690672724969e-08,0.0,0.0,0.0,1.8698759474166447e-08,4.771285056354056e-07,2.0415645571339914e-06,0.0,0.0,0.0,0.0,1.8428682187946902e-11,0.0,2.9939521675810236e-09,1.1780092446254656e-14,0.0,0.0,0.0,0.0,0.0,20
2.0,8.64e-06,0.0,0.00020890223408384575,4.95827265109572e-07,8.715069343779688e-08,5.733359526031434e-05,0.0,0.0011339750626456436,2.8577263529342054e-06,0.0,0.0,7.574959334724204e-06,1.9328554896748405e-05,0.0,2.975600150259557e-12,0.0,0.0,0.0,0.0,1.7815176034599645e-10,1.1339245577669403e-08,3.679886571765827e-13,0.0,0.0,0.0,1.94211322101475e-05,0.0,0.0,0.0,0.0,9.605108246604378e-12,0.0,1.1780092440881601e-14,0.0,1.9152627887365627e-10,1.4333197745250426e-08,3.91548842063719e-13,0.025844849007732217,20
3.0,8.64e-06,0.00102188059270609,0.0001161420408624757,9.822728011558706e-05,1.3459360552991243e-07,0.008136644443417959,0.0,0.1332921689234225,0.00036230158609415426,9.904738288624871e-05,0.0003301579429541624,0.0,0.0020530812124046464,0.0,7.70675687083618e-07,1.3555821775089525e-06,1.8094442620592695e-11,0.00102188059270609,4.1762039832884344e-05,0.0,9.792093829719841e-09,3.6624746054982217e-13,7.7445961643946e-05,2.028549120653145e-05,0.008079310848157646,0.0020574771637281103,0.0,0.0,0.0,3.367993300304613e-07,3.965811693750127e-10,1.0365739449885349e-07,8.156883967275826e-13,0.0,7.907152015352594e-09,0.0,0.0,0.5141449938715369,20
4.0,8.64e-06,0.002043736954860735,-0.012301794897959645,0.00018675381520757756,6.43442692906674e-05,0.01285874981634507,0.0,0.2069766805961632,0.000565430000784642,0.00023944624700014507,0.0006334772619812802,0.0,0.0020040224225002187,0.0,1.1263010039635322e-06,0.0,0.0,0.002043736954860735,4.176029229864794e-05,1.789176534541789e-07,4.550491409263973e-06,8.110976033072428e-11,4.811646003596467e-05,4.041007505602577e-05,0.004721651525977002,0.0,0.0,0.0,0.0,6.610466850931676e-06,4.599360817847025e-07,1.333586349567631e-07,8.607552199089173e-13,0.0,5.925362002832371e-06,4.77616819314192e-06,8.241821529018418e-11,0.025804739053762144,20
5.0,8.64e-06,0.0030655613416008445,-0.02469474200903936,0.0002886123823487159,0.00010311200655834524,0.017166259820594058,0.0,0.2745496393638767,0.000751273580185091,0.0003650160214245623,0.0006392578243844918,0.0,0.0019655258778713703,0.0,3.3383140343618626e-07,1.0015602110877262e-06,3.0110399358394745e-12,0.0030655613416008445,4.647435801971951e-05,5.387160098289265e-06,4.484898795860368e-06,8.036949875332412e-11,4.3823003012222745e-05,5.80355641289157e-05,0.004307510004248985,0.0,0.0,0.0,0.0,1.080668117024852e-06,5.56139788700631e-07,1.3629448045184717e-07,8.699642197845813e-13,0.0,6.4612895446129745e-06,0.0,0.0,0.0,20
6.0,8.64e-06,0.0040873842475288615,-0.037016648499625104,0.00033211540239576256,0.00011403768099511096,0.018157010940713772,0.0,0.3832297595279481,0.0008658424735167171,0.0003650160214245623,0.0002117311259698221,0.0,0.001951432798519331,0.0,2.5194530127917155e-07,0.0,2.252304234227054e-12,0.0040873842475288615,4.647435910279528e-05,5.350212415217941e-06,5.400134439225453e-06,8.369813593148736e-11,9.074323331654343e-06,3.442869671539232e-05,0.0009907511201197152,0.0,0.0,0.0,0.0,8.322040431918386e-07,5.38185610005846e-08,1.4641640904081679e-08,1.0830757723225028e-12,0.0,8.203622770925613e-07,1.0005791513174098e-06,4.311050982736126e-12,-1.0,20
7.0,8.64e-06,0.00510920656208603,-0.04932842666951406,0.00037967728121973893,0.00011787319540316248,0.01963308815118748,0.0,0.5368356001527095,0.0010301814849277022,0.0003650160214245623,1.7732498917887458e-05,0.0,0.0019340181902743902,0.0,2.8116369687054417e-07,0.0,8.676012210039369e-13,0.00510920656208603,4.647436033463038e-05,5.310807513728552e-06,5.385494862271778e-06,9.595209588630862e-11,1.3145916089719139e-05,3.441596273425721e-05,0.0014352950203411542,0.0,0.0,0.0,0.0,7.495701591935689e-07,4.052535501557615e-08,1.4639576953675596e-08,1.2318351106513163e-12,0.0,6.392387654020952e-07,0.0,1.363593982518086e-11,-1.0,20
8.0,8.64e-06,0.006131028217089722,-0.061630338439751145,0.00041406415972498753,0.00012203620583806007,0.019592305961054907,0.0,0.5368356001527095,0.0010301814849277022,0.0003650160214245623,1.2915004537485306e-05,0.0,0.0019275751868925723,0.0,2.5455934153062524e-07,0.0,0.0,0.006131028217089722,4.64743615664655e-05,5.282132812860124e-06,5.370859893250202e-06,9.716975136842519e-11,0.0,3.4386878505248594e-05,0.0,0.0,0.0,0.0,0.0,7.416174084395019e-07,4.43954131841974e-08,1.4634969021576207e-08,1.2318351107238343e-12,0.0,6.938325427724866e-07,0.0,2.5297104432662235e-12,-1.0,20
9.0,8.64e-06,0.0071528492720917295,-0.07393046439152147,0.00044844055687614495,0.0001259259008928623,0.019592305961054907,0.0,0.5368356001527095,0.0010301814849277022,0.0003650160214245623,1.0157536114984498e-05,0.0,0.0019211334359343563,0.0,2.699022990702808e-07,0.0,8.508456226586465e-14,0.0071528492720917295,4.6474362798300593e-05,5.249240085493994e-06,5.35622665763675e-06,9.594300943122252e-11,0.0,3.4376397151157424e-05,0.0,0.0,0.0,0.0,0.0,7.387731074403035e-07,4.1054910030576087e-08,1.463323561345078e-08,1.2318351107449307e-12,0.0,6.48282509133706e-07,0.0,0.0,-1.0,20
