step_number,time_in_days,soil_temperature_in_Celsius,sucrose_input_rate
0,0,15.9337,1.37325E-09
1,1,15.77629911,1.37348E-09
2,2,15.62009244,1.37336E-09
3,3,15.46507998,1.37291E-09
4,4,15.31126174,1.37213E-09
5,5,15.15863773,1.37104E-09
6,6,15.00720792,1.36964E-09
7,7,14.85697234,1.36796E-09
8,8,14.70793098,1.36599E-09
9,9,14.56008383,1.36375E-09
10,10,14.4134309,1.36124E-09
11,11,14.26797219,1.35849E-09
12,12,14.1237077,1.35549E-09
13,13,13.98063742,1.35227E-09
14,14,13.83876136,1.34881E-09
15,15,13.69807953,1.34515E-09
16,16,13.5585919,1.34127E-09
17,17,13.4202985,1.3372E-09
18,18,13.28319932,1.33294E-09
19,19,13.14729435,1.3285E-09
20,20,13.0125836,1.32389E-09
21,21,12.87906707,1.31911E-09
22,22,12.74674476,1.31417E-09
23,23,12.61561666,1.30909E-09
24,24,12.48568278,1.30386E-09
25,25,12.35694313,1.29849E-09
26,26,12.22939768,1.293E-09
27,27,12.10304646,1.28739E-09
28,28,11.97788946,1.28166E-09
29,29,11.85392667,1.27582E-09
30,30,11.7311581,1.26988E-09
31,31,11.60958375,1.26384E-09
32,32,11.48920362,1.25771E-09
33,33,11.3700177,1.2515E-09
34,34,11.252026,1.24521E-09
35,35,11.13522853,1.23885E-09
36,36,11.01962526,1.23243E-09
37,37,10.90521622,1.22594E-09
38,38,10.7920014,1.21939E-09
39,39,10.67998079,1.21279E-09
40,40,10.5691544,1.22767E-09
41,41,10.45952223,1.29129E-09
42,42,10.35108428,1.3559E-09
43,43,10.24384054,1.42129E-09
44,44,10.13779102,1.48726E-09
45,45,10.03293573,1.55365E-09
46,46,9.929274644,1.62029E-09
47,47,9.826807781,1.68701E-09
48,48,9.725535136,1.7537E-09
49,49,9.625456709,1.8202E-09
50,50,9.5265725,1.8864E-09
51,51,9.428882509,1.9522E-09
52,52,9.332386736,2.01749E-09
53,53,9.237085181,2.08218E-09
54,54,9.142977844,2.14619E-09
55,55,9.050064725,2.20944E-09
56,56,8.958345824,2.27187E-09
57,57,8.867821141,2.33342E-09
58,58,8.778490676,2.39403E-09
