step_number,time_in_days,soil_temperature_in_Celsius,sucrose_input_rate
0,0,15.9337,1.35992E-09
1,1,15.77629911,1.34728E-09
2,2,15.62009244,1.33474E-09
3,3,15.46507998,1.32229E-09
4,4,15.31126174,1.30993E-09
5,5,15.15863773,1.29768E-09
6,6,15.00720792,1.28552E-09
7,7,14.85697234,1.27345E-09
8,8,14.70793098,1.26148E-09
9,9,14.56008383,1.24961E-09
10,10,14.4134309,1.23783E-09
11,11,14.26797219,1.22615E-09
12,12,14.1237077,1.21456E-09
13,13,13.98063742,1.20307E-09
14,14,13.83876136,1.19168E-09
15,15,13.69807953,1.18038E-09
16,16,13.5585919,1.16918E-09
17,17,13.4202985,1.15807E-09
18,18,13.28319932,1.14706E-09
19,19,13.14729435,1.13615E-09
20,20,13.0125836,1.12533E-09
21,21,12.87906707,1.11461E-09
22,22,12.74674476,1.10398E-09
23,23,12.61561666,1.09345E-09
24,24,12.48568278,1.08302E-09
25,25,12.35694313,1.07268E-09
26,26,12.22939768,1.06243E-09
27,27,12.10304646,1.05229E-09
28,28,11.97788946,1.04224E-09
29,29,11.85392667,1.03228E-09
30,30,11.7311581,1.02242E-09
31,31,11.60958375,1.01266E-09
32,32,11.48920362,1.00299E-09
33,33,11.3700177,9.93419E-10
34,34,11.252026,9.83943E-10
35,35,11.13522853,9.74563E-10
36,36,11.01962526,9.65279E-10
37,37,10.90521622,9.56091E-10
38,38,10.7920014,9.46999E-10
39,39,10.67998079,9.38003E-10
40,40,10.5691544,9.4568E-10
41,41,10.45952223,9.90753E-10
42,42,10.35108428,1.03628E-09
43,43,10.24384054,1.08212E-09
44,44,10.13779102,1.12812E-09
45,45,10.03293573,1.17416E-09
46,46,9.929274644,1.22011E-09
47,47,9.826807781,1.26586E-09
48,48,9.725535136,1.31133E-09
49,49,9.625456709,1.35642E-09
50,50,9.5265725,1.40106E-09
51,51,9.428882509,1.44516E-09
52,52,9.332386736,1.48867E-09
53,53,9.237085181,1.53154E-09
54,54,9.142977844,1.57371E-09
55,55,9.050064725,1.61513E-09
56,56,8.958345824,1.65577E-09
57,57,8.867821141,1.69561E-09
58,58,8.778490676,1.7346E-09
59,59,8.690354429,1.77273E-09
60,60,8.6034124,1.80998E-09
61,61,8.517664589,1.84634E-09
62,62,8.433110996,1.8818E-09
63,63,8.349751621,1.91634E-09
64,64,8.267586464,1.94996E-09
65,65,8.186615525,1.98267E-09
66,66,8.106838804,2.01447E-09
67,67,8.028256301,2.04535E-09
68,68,7.950868016,2.07533E-09
69,69,7.874673949,2.10442E-09
70,70,7.7996741,2.13263E-09
71,71,7.725868469,2.15996E-09
72,72,7.653257056,2.18643E-09
73,73,7.581839861,2.21206E-09
74,74,7.511616884,2.23687E-09
75,75,7.442588125,2.26087E-09
76,76,7.374753584,2.28408E-09
77,77,7.308113261,2.30652E-09
78,78,7.242667156,2.32821E-09
79,79,7.178415269,2.34918E-09
80,80,7.1153576,2.36944E-09
81,81,7.053494149,2.38901E-09
82,82,6.992824916,2.40793E-09
83,83,6.933349901,2.42621E-09
84,84,6.875069104,2.44388E-09
85,85,6.817982525,2.46095E-09
