step_number,time_in_days,soil_temperature_in_Celsius,sucrose_input_rate
912,38,10,1.42E-11
913,38.04166667,10,2.17E-10
914,38.08333333,10,3.29E-10
915,38.125,10,3.77E-10
916,38.16666667,10,3.99E-10
917,38.20833333,10,4.09E-10
918,38.25,10,4.14E-10
919,38.29166667,10,4.16E-10
920,38.33333333,10,4.17E-10
921,38.375,10,4.17E-10
922,38.41666667,10,4.16E-10
923,38.45833333,10,4.15E-10
924,38.5,10,4.14E-10
925,38.54166667,10,1.86E-10
926,38.58333333,10,9.43E-11
927,38.625,10,5.45E-11
928,38.66666667,10,3.53E-11
929,38.70833333,10,2.52E-11
930,38.75,10,1.97E-11
931,38.79166667,10,1.66E-11
932,38.83333333,10,1.48E-11
933,38.875,10,1.37E-11
934,38.91666667,10,1.30E-11
935,38.95833333,10,1.26E-11
936,39,10,2.25E-11
937,39.04166667,10,8.10E-11
938,39.08333333,10,1.55E-10
939,39.125,10,2.21E-10
940,39.16666667,10,2.74E-10
941,39.20833333,10,3.14E-10
942,39.25,10,3.44E-10
943,39.29166667,10,3.66E-10
944,39.33333333,10,3.80E-10
945,39.375,10,3.90E-10
946,39.41666667,10,3.97E-10
947,39.45833333,10,4.00E-10
948,39.5,10,4.04E-10
949,39.54166667,10,2.69E-10
950,39.58333333,10,1.96E-10
951,39.625,10,1.42E-10
952,39.66666667,10,1.04E-10
953,39.70833333,10,7.73E-11
954,39.75,10,5.80E-11
955,39.79166667,10,4.34E-11
956,39.83333333,10,3.30E-11
957,39.875,10,2.55E-11
958,39.91666667,10,2.01E-11
959,39.95833333,10,1.63E-11
960,40,10,1.34E-11
961,40.04166667,10,9.91E-11
962,40.08333333,10,1.91E-10
963,40.125,10,2.61E-10
964,40.16666667,10,3.10E-10
965,40.20833333,10,3.44E-10
966,40.25,10,3.65E-10
967,40.29166667,10,3.79E-10
968,40.33333333,10,3.89E-10
969,40.375,10,3.95E-10
970,40.41666667,10,3.99E-10
971,40.45833333,10,4.01E-10
972,40.5,10,4.05E-10
973,40.54166667,10,2.51E-10
974,40.58333333,10,1.69E-10
975,40.625,10,1.15E-10
976,40.66666667,10,7.94E-11
977,40.70833333,10,5.60E-11
978,40.75,10,3.96E-11
979,40.79166667,10,2.87E-11
980,40.83333333,10,2.15E-11
981,40.875,10,1.68E-11
982,40.91666667,10,1.37E-11
983,40.95833333,10,1.16E-11
984,41,10,1.02E-11
985,41.04166667,10,1.24E-10
986,41.08333333,10,2.31E-10
987,41.125,10,3.02E-10
988,41.16666667,10,3.47E-10
989,41.20833333,10,3.74E-10
990,41.25,10,3.90E-10
991,41.29166667,10,4.00E-10
992,41.33333333,10,4.06E-10
993,41.375,10,4.10E-10
994,41.41666667,10,4.12E-10
995,41.45833333,10,4.13E-10
996,41.5,10,4.14E-10
997,41.54166667,10,2.38E-10
998,41.58333333,10,1.50E-10
999,41.625,10,9.51E-11
1000,41.66666667,10,6.11E-11
1001,41.70833333,10,4.06E-11
1002,41.75,10,2.79E-11
1003,41.79166667,10,2.02E-11
1004,41.83333333,10,1.55E-11
1005,41.875,10,1.26E-11
1006,41.91666667,10,1.08E-11
1007,41.95833333,10,9.66E-12
1008,42,10,8.92E-12
1009,42.04166667,10,1.49E-10
1010,42.08333333,10,2.64E-10
1011,42.125,10,3.32E-10
1012,42.16666667,10,3.71E-10
1013,42.20833333,10,3.93E-10
1014,42.25,10,4.05E-10
1015,42.29166667,10,4.11E-10
1016,42.33333333,10,4.15E-10
1017,42.375,10,4.17E-10
1018,42.41666667,10,4.18E-10
1019,42.45833333,10,4.19E-10
1020,42.5,10,4.19E-10
1021,42.54166667,10,2.24E-10
1022,42.58333333,10,1.31E-10
1023,42.625,10,7.84E-11
1024,42.66666667,10,4.81E-11
1025,42.70833333,10,3.09E-11
1026,42.75,10,2.11E-11
1027,42.79166667,10,1.56E-11
1028,42.83333333,10,1.25E-11
