step_number,time_in_days,soil_temperature_in_Celsius,sucrose_input_rate
0,0,4.614067597,4.45E-12
1,1,5.983824353,7.98E-12
2,2,7.984853074,1.04E-11
3,3,7.884304876,9.02E-12
4,4,7.041580246,7.39E-12
5,5,6.826665021,7.28E-12
6,6,7.432579114,8.39E-12
7,7,7.928513003,9.20E-12
8,8,7.945078869,8.87E-12
9,9,7.573922901,7.86E-12
10,10,7.134477099,8.16E-12
11,11,7.703162358,9.59E-12
12,12,8.893689939,1.04E-11
13,13,8.063270958,1.03E-11
14,14,9.455499,1.20E-11
15,15,9.794209393,1.28E-11
16,16,9.829791417,1.33E-11
17,17,9.972707957,1.31E-11
18,18,9.38813578,1.23E-11
19,19,9.056809527,1.08E-11
20,20,8.56937523,9.47E-12
21,21,7.885818813,8.79E-12
22,22,7.257885095,7.85E-12
23,23,6.979530707,5.94E-12
24,24,6.608374739,5.88E-12
25,25,7.106714325,6.83E-12
26,26,7.960552707,1.06E-11
27,27,8.815682966,1.03E-11
28,28,10.14328074,1.40E-11
29,29,10.46245098,1.55E-11
30,30,9.608182672,1.39E-11
31,31,8.727265557,1.10E-11
32,32,7.711548098,7.76E-12
33,33,6.261862816,6.54E-12
34,34,7.13169865,7.34E-12
35,35,7.40812409,7.59E-12
36,36,7.041106976,7.03E-12
37,37,6.823459205,1.09E-11
38,38,11.48321627,1.39E-11
39,39,7.341285752,9.39E-12
40,40,8.032753003,1.13E-11
41,41,8.724220253,1.10E-11
42,42,8.831979205,1.43E-11
43,43,8.608814054,1.24E-11
44,44,8.385648902,1.26E-11
45,45,7.875567688,1.37E-11
46,46,7.532447547,1.51E-11
47,47,8.166373249,1.87E-11
48,48,8.65761562,2.34E-11
49,49,10.13825904,2.95E-11
50,50,10.5242699,3.55E-11
51,51,10.91028076,4.48E-11
52,52,11.29629161,4.84E-11
53,53,11.50813231,5.10E-11
54,54,11.39459076,5.02E-11
55,55,10.28042206,5.80E-11
56,56,10.62399125,7.21E-11
57,57,11.82298786,8.67E-11
58,58,12.29057413,1.04E-10
59,59,14.92323225,1.11E-10
60,60,15.30514153,1.23E-10
61,61,15.6870508,1.50E-10
62,62,16.5291023,1.66E-10
63,63,15.48633031,1.90E-10
64,64,15.55032373,2.21E-10
65,65,16.99973865,2.55E-10
66,66,16.89275062,2.89E-10
67,67,16.60759383,3.22E-10
68,68,15.49245008,3.92E-10
69,69,14.08535548,4.04E-10
70,70,13.25941808,4.24E-10
71,71,13.28479249,4.52E-10
72,72,13.46301264,4.82E-10
73,73,13.72353096,5.06E-10
74,74,13.94585095,5.30E-10
75,75,14.41337067,5.55E-10
76,76,14.32766897,5.84E-10
77,77,15.2709626,5.70E-10
78,78,15.96337121,5.65E-10
79,79,16.35484745,5.82E-10
80,80,16.02381369,5.87E-10
81,81,15.50694376,6.05E-10
82,82,14.12451502,6.45E-10
83,83,13.36510748,6.70E-10
84,84,13.56708813,6.65E-10
85,85,13.76493902,6.57E-10
86,86,13.98802652,6.63E-10
87,87,14.92413852,6.52E-10
88,88,16.72723646,6.63E-10
89,89,17.48847243,6.54E-10
90,90,17.50489505,6.41E-10
91,91,15.82209493,6.09E-10
92,92,14.60881374,6.44E-10
93,93,14.79112031,6.22E-10
94,94,15.16719413,5.99E-10
95,95,16.51175081,5.78E-10
96,96,16.16163084,5.96E-10
97,97,17.33001094,5.84E-10
98,98,16.69701589,5.54E-10
99,99,15.43494672,5.83E-10
100,100,14.98760492,6.06E-10
101,101,14.54026312,5.97E-10
102,102,15.71884589,5.68E-10
103,103,15.94907309,5.59E-10
104,104,15.93487844,5.22E-10
105,105,17.24512749,4.96E-10
106,106,17.71271377,4.59E-10
107,107,18.50002486,4.54E-10
108,108,18.81276695,4.36E-10
109,109,14.45771618,4.49E-10
110,110,17.93296331,3.88E-10
111,111,17.41606976,3.70E-10
112,112,16.91929478,3.74E-10
113,113,17.43541282,3.52E-10
114,114,18.09324058,3.15E-10
115,115,18.6444633,3.07E-10
116,116,19.15735545,2.78E-10
117,117,19.58333814,2.53E-10
118,118,19.51596697,2.23E-10
119,119,19.18019278,2.02E-10
120,120,17.94232271,1.72E-10
121,121,17.2832932,1.74E-10
122,122,16.720316,1.62E-10
123,123,17.60836448,1.30E-10
124,124,16.56275092,1.21E-10
125,125,15.60213579,9.40E-11
126,126,14.80394157,4.98E-11
