step_number,time_in_days,soil_temperature_in_Celsius,sucrose_input_rate
3600,150.0000012,20.80063957,1.33E-10
3601,150.0416679,20.79403699,1.33E-10
3602,150.0833345,20.7874344,1.32E-10
3603,150.1250012,20.78083182,1.32E-10
3604,150.1666679,20.77422923,1.32E-10
3605,150.2083345,20.76762665,1.31E-10
3606,150.2500012,20.76102407,1.31E-10
3607,150.2916679,20.75442148,1.31E-10
3608,150.3333345,20.7478189,1.30E-10
3609,150.3750012,20.74121632,1.30E-10
3610,150.4166679,20.73461373,1.30E-10
3611,150.4583345,20.72801115,1.29E-10
3612,150.5000012,20.72140856,1.29E-10
3613,150.5416679,20.71480598,1.29E-10
3614,150.5833345,20.7082034,1.28E-10
3615,150.6250012,20.70160081,1.28E-10
3616,150.6666679,20.69499823,1.28E-10
3617,150.7083345,20.68839565,1.27E-10
3618,150.7500012,20.68179306,1.27E-10
3619,150.7916679,20.67519048,1.27E-10
3620,150.8333345,20.66858789,1.26E-10
3621,150.8750012,20.66198531,1.26E-10
3622,150.9166679,20.65538273,1.26E-10
3623,150.9583345,20.64878014,1.25E-10
3624,151.0000012,20.64217778,1.25E-10
3625,151.0416679,20.64326359,1.25E-10
3626,151.0833345,20.64434939,1.24E-10
3627,151.1250012,20.64543519,1.24E-10
3628,151.1666679,20.646521,1.24E-10
3629,151.2083345,20.6476068,1.24E-10
3630,151.2500012,20.6486926,1.23E-10
3631,151.2916679,20.64977841,1.23E-10
3632,151.3333345,20.65086421,1.23E-10
3633,151.3750012,20.65195002,1.22E-10
3634,151.4166679,20.65303582,1.22E-10
3635,151.4583345,20.65412162,1.22E-10
3636,151.5000012,20.65520743,1.21E-10
3637,151.5416679,20.65629323,1.21E-10
3638,151.5833345,20.65737903,1.21E-10
3639,151.6250012,20.65846484,1.21E-10
3640,151.6666679,20.65955064,1.20E-10
3641,151.7083345,20.66063645,1.20E-10
3642,151.7500012,20.66172225,1.20E-10
3643,151.7916679,20.66280805,1.19E-10
3644,151.8333345,20.66389386,1.19E-10
3645,151.8750012,20.66497966,1.19E-10
3646,151.9166679,20.66606546,1.19E-10
3647,151.9583345,20.66715127,1.18E-10
3648,152.0000012,20.6682382,1.18E-10
3649,152.0416679,20.70815182,1.18E-10
3650,152.0833346,20.74806544,1.17E-10
3651,152.1250012,20.78797905,1.17E-10
3652,152.1666679,20.82789267,1.17E-10
3653,152.2083346,20.86780629,1.17E-10
3654,152.2500012,20.9077199,1.16E-10
3655,152.2916679,20.94763352,1.16E-10
3656,152.3333346,20.98754713,1.16E-10
3657,152.3750012,21.02746075,1.15E-10
3658,152.4166679,21.06737437,1.15E-10
3659,152.4583346,21.10728798,1.15E-10
3660,152.5000012,21.1472016,1.14E-10
3661,152.5416679,21.18711521,1.14E-10
3662,152.5833346,21.22702883,1.14E-10
3663,152.6250012,21.26694245,1.14E-10
3664,152.6666679,21.30685606,1.13E-10
3665,152.7083346,21.34676968,1.13E-10
3666,152.7500012,21.3866833,1.13E-10
3667,152.7916679,21.42659691,1.12E-10
3668,152.8333346,21.46651053,1.12E-10
3669,152.8750012,21.50642414,1.12E-10
3670,152.9166679,21.54633776,1.12E-10
3671,152.9583346,21.58625138,1.11E-10
3672,153.0000012,21.62616367,1.11E-10
3673,153.0416679,21.62110833,1.11E-10
3674,153.0833346,21.61605299,1.10E-10
3675,153.1250012,21.61099765,1.10E-10
3676,153.1666679,21.60594231,1.10E-10
3677,153.2083346,21.60088697,1.10E-10
3678,153.2500012,21.59583163,1.09E-10
3679,153.2916679,21.59077629,1.09E-10
3680,153.3333346,21.58572094,1.09E-10
3681,153.3750012,21.5806656,1.09E-10
3682,153.4166679,21.57561026,1.08E-10
3683,153.4583346,21.57055492,1.08E-10
3684,153.5000012,21.56549958,1.08E-10
3685,153.5416679,21.56044424,1.08E-10
3686,153.5833346,21.5553889,1.07E-10
3687,153.6250012,21.55033356,1.07E-10
3688,153.6666679,21.54527822,1.07E-10
3689,153.7083346,21.54022288,1.07E-10
3690,153.7500012,21.53516754,1.06E-10
3691,153.7916679,21.53011219,1.06E-10
3692,153.8333346,21.52505685,1.06E-10
3693,153.8750012,21.52000151,1.06E-10
3694,153.9166679,21.51494617,1.05E-10
3695,153.9583346,21.50989083,1.05E-10
3696,154.0000012,21.50483502,1.05E-10
3697,154.0416679,21.48380989,1.05E-10
3698,154.0833346,21.46278475,1.04E-10
3699,154.1250012,21.44175962,1.04E-10
3700,154.1666679,21.42073449,1.04E-10
3701,154.2083346,21.39970935,1.04E-10
3702,154.2500012,21.37868422,1.03E-10
3703,154.2916679,21.35765909,1.03E-10
3704,154.3333346,21.33663396,1.03E-10
3705,154.3750012,21.31560882,1.03E-10
3706,154.4166679,21.29458369,1.02E-10
3707,154.4583346,21.27355856,1.02E-10
3708,154.5000012,21.25253343,1.02E-10
3709,154.5416679,21.23150829,1.01E-10
3710,154.5833346,21.21048316,1.01E-10
3711,154.6250012,21.18945803,1.01E-10
3712,154.6666679,21.1684329,1.01E-10
3713,154.7083346,21.14740776,1.00E-10
3714,154.7500012,21.12638263,1.00E-10
3715,154.7916679,21.1053575,9.99E-11
3716,154.8333346,21.08433236,9.96E-11
3717,154.8750012,21.06330723,9.93E-11
3718,154.9166679,21.0422821,9.90E-11
3719,154.9583346,21.02125697,9.88E-11
3720,155.0000012,21.0002306,9.85E-11
3721,155.0416679,20.93782405,9.83E-11
3722,155.0833346,20.8754175,9.80E-11
3723,155.1250012,20.81301094,9.78E-11
3724,155.1666679,20.75060439,9.75E-11
3725,155.2083346,20.68819783,9.73E-11
3726,155.2500012,20.62579128,9.70E-11
3727,155.2916679,20.56338473,9.68E-11
3728,155.3333346,20.50097817,9.66E-11
3729,155.3750012,20.43857162,9.63E-11
3730,155.4166679,20.37616506,9.61E-11
3731,155.4583346,20.31375851,9.58E-11
3732,155.5000012,20.25135196,9.56E-11
3733,155.5416679,20.1889454,9.54E-11
3734,155.5833346,20.12653885,9.51E-11
3735,155.6250012,20.0641323,9.49E-11
3736,155.6666679,20.00172574,9.46E-11
3737,155.7083346,19.93931919,9.44E-11
3738,155.7500012,19.87691263,9.41E-11
3739,155.7916679,19.81450608,9.39E-11
3740,155.8333346,19.75209953,9.37E-11
3741,155.8750012,19.68969297,9.34E-11
3742,155.9166679,19.62728642,9.32E-11
3743,155.9583346,19.56487986,9.29E-11
3744,156.0000012,19.50247358,9.27E-11
3745,156.0416679,19.44908444,9.25E-11
3746,156.0833346,19.39569531,9.22E-11
3747,156.1250012,19.34230617,9.20E-11
3748,156.1666679,19.28891703,9.18E-11
3749,156.2083346,19.23552789,9.16E-11
3750,156.2500013,19.18213875,9.13E-11
3751,156.2916679,19.12874962,9.11E-11
3752,156.3333346,19.07536048,9.09E-11
3753,156.3750013,19.02197134,9.06E-11
3754,156.4166679,18.9685822,9.04E-11
3755,156.4583346,18.91519306,9.02E-11
3756,156.5000013,18.86180393,8.99E-11
3757,156.5416679,18.80841479,8.97E-11
3758,156.5833346,18.75502565,8.95E-11
3759,156.6250013,18.70163651,8.93E-11
3760,156.6666679,18.64824737,8.90E-11
3761,156.7083346,18.59485824,8.88E-11
3762,156.7500013,18.5414691,8.86E-11
3763,156.7916679,18.48807996,8.83E-11
3764,156.8333346,18.43469082,8.81E-11
3765,156.8750013,18.38130168,8.79E-11
3766,156.9166679,18.32791255,8.77E-11
3767,156.9583346,18.27452341,8.74E-11
3768,157.0000013,18.22113506,8.72E-11
3769,157.0416679,18.19399643,8.70E-11
3770,157.0833346,18.16685781,8.68E-11
3771,157.1250013,18.13971918,8.66E-11
3772,157.1666679,18.11258055,8.63E-11
3773,157.2083346,18.08544192,8.61E-11
3774,157.2500013,18.05830329,8.59E-11
3775,157.2916679,18.03116466,8.57E-11
3776,157.3333346,18.00402604,8.55E-11
3777,157.3750013,17.97688741,8.53E-11
3778,157.4166679,17.94974878,8.51E-11
3779,157.4583346,17.92261015,8.49E-11
3780,157.5000013,17.89547152,8.46E-11
3781,157.5416679,17.8683329,8.44E-11
3782,157.5833346,17.84119427,8.42E-11
3783,157.6250013,17.81405564,8.40E-11
3784,157.6666679,17.78691701,8.38E-11
3785,157.7083346,17.75977838,8.36E-11
3786,157.7500013,17.73263976,8.34E-11
3787,157.7916679,17.70550113,8.32E-11
3788,157.8333346,17.6783625,8.29E-11
3789,157.8750013,17.65122387,8.27E-11
3790,157.9166679,17.62408524,8.25E-11
3791,157.9583346,17.59694661,8.23E-11
3792,158.0000013,17.56980777,8.21E-11
3793,158.0416679,17.53539371,8.19E-11
3794,158.0833346,17.50097965,8.17E-11
3795,158.1250013,17.46656559,8.15E-11
3796,158.1666679,17.43215153,8.13E-11
3797,158.2083346,17.39773747,8.11E-11
3798,158.2500013,17.36332341,8.09E-11
3799,158.2916679,17.32890936,8.07E-11
3800,158.3333346,17.2944953,8.05E-11
3801,158.3750013,17.26008124,8.03E-11
3802,158.4166679,17.22566718,8.01E-11
3803,158.4583346,17.19125312,7.99E-11
3804,158.5000013,17.15683906,7.96E-11
3805,158.5416679,17.122425,7.94E-11
3806,158.5833346,17.08801095,7.92E-11
3807,158.6250013,17.05359689,7.90E-11
3808,158.6666679,17.01918283,7.88E-11
3809,158.7083346,16.98476877,7.86E-11
3810,158.7500013,16.95035471,7.84E-11
3811,158.7916679,16.91594065,7.82E-11
3812,158.8333346,16.88152659,7.80E-11
3813,158.8750013,16.84711254,7.78E-11
3814,158.9166679,16.81269848,7.76E-11
3815,158.9583346,16.77828442,7.74E-11
3816,159.0000013,16.74387036,7.72E-11
3817,159.0416679,16.7094563,7.70E-11
3818,159.0833346,16.67504224,7.68E-11
3819,159.1250013,16.64062818,7.66E-11
3820,159.1666679,16.60621412,7.64E-11
3821,159.2083346,16.57180007,7.62E-11
3822,159.2500013,16.53738601,7.60E-11
3823,159.2916679,16.50297195,7.59E-11
3824,159.3333346,16.46855789,7.57E-11
3825,159.3750013,16.43414383,7.55E-11
3826,159.4166679,16.39972977,7.53E-11
3827,159.4583346,16.36531571,7.51E-11
3828,159.5000013,16.33090166,7.49E-11
3829,159.5416679,16.2964876,7.47E-11
3830,159.5833346,16.26207354,7.45E-11
3831,159.6250013,16.22765948,7.43E-11
3832,159.6666679,16.19324542,7.41E-11
3833,159.7083346,16.15883136,7.39E-11
3834,159.7500013,16.1244173,7.37E-11
3835,159.7916679,16.09000325,7.36E-11
3836,159.8333346,16.05558919,7.34E-11
3837,159.8750013,16.02117513,7.32E-11
3838,159.9166679,15.98676107,7.30E-11
3839,159.9583346,15.95234701,7.28E-11
3840,160.0000013,15.91793696,7.26E-11
3841,160.0416679,16.01402025,7.24E-11
3842,160.0833346,16.11010353,7.22E-11
3843,160.1250013,16.20618682,7.21E-11
3844,160.1666679,16.3022701,7.19E-11
3845,160.2083346,16.39835339,7.17E-11
3846,160.2500013,16.49443667,7.15E-11
3847,160.2916679,16.59051996,7.13E-11
3848,160.3333346,16.68660324,7.12E-11
3849,160.3750013,16.78268653,7.10E-11
3850,160.416668,16.87876981,7.08E-11
3851,160.4583346,16.9748531,7.06E-11
3852,160.5000013,17.07093638,7.04E-11
3853,160.541668,17.16701967,7.03E-11
3854,160.5833346,17.26310295,7.01E-11
3855,160.6250013,17.35918624,6.99E-11
3856,160.666668,17.45526952,6.97E-11
3857,160.7083346,17.55135281,6.96E-11
3858,160.7500013,17.64743609,6.94E-11
3859,160.791668,17.74351938,6.92E-11
3860,160.8333346,17.83960266,6.90E-11
3861,160.8750013,17.93568595,6.88E-11
3862,160.916668,18.03176923,6.87E-11
3863,160.9583346,18.12785252,6.85E-11
3864,161.0000013,18.22393376,6.83E-11
3865,161.041668,18.25396608,6.81E-11
3866,161.0833346,18.2839984,6.80E-11
3867,161.1250013,18.31403072,6.78E-11
3868,161.166668,18.34406304,6.76E-11
3869,161.2083346,18.37409536,6.74E-11
3870,161.2500013,18.40412768,6.73E-11
